Label,Others01,Others02
2官能性モノマー,官能性,
50%結晶化時間,結晶化時間,
CAS登録番号,,
CU化学式,化学式,
Hildebrandパラメータ,,
PoLyInfoモノマー登録番号,PoLyInfo,
Tgにおける熱容量増分,熱容量増分,
アイゾッド衝撃値,衝撃値,
アクリル酸類,アクリル酸,
アセタール,,
アセチレン,,
アッベの屈折計,屈折計,
アニーリング,,
アニオン重合,アニオン,
アニリン誘導体,アニリン,誘導体
アブラミ式の核生成パラメータ,アブラミ式,
アブラミ式の成長速度パラメータ,,
アミノカルボン酸,カルボン酸,
アミノ酸-N-カルボン酸無水物,アミノ酸,
アモルファス,,
アルデヒド,,
インヘレント粘度,インヘレント,
エーテル,,
オキシカルボン酸,,
オレフィン,,
かさ密度,,
ガス拡散係数,,
ガス透過係数,透過係数,
ガス溶解度係数,溶解度係数,
カチオン重合,カチオン,
ガラス-ゴム転移温度,,
ガラス温度,,
ガラス転移温度,,
ガラス転移点,,
キャノン・フェンスケ,,
クーン−マーク−ホーウィンク−桜田の式,,
くもり点,,
クリープ特性,,
クリープ破断強さ,,
クリープ破断時間,,
けい素化合物,,
結晶化,結晶,
ゲル浸透クロマトグラフィー,,
サイズ排除クロマトグラフィー,,
サンプルID,,
ジケトン化合物,,
ジアミン,アミン,
ジイソシアナート,イソシアナート,
ジエン,,
ジオール,,
ジカルボン酸類,,
ジハロゲン化合物,,
シャルピー衝撃値,,
ショア硬度,,
シラン,,
シリンダー,,
スチレン,,
スルホアミド,,
スルホキシド,,
スルホン酸塩,,
ぜい化温度,,
せん断弾性率,,
その他の一次構造情報,,
その他の物性,,
その他ポリマー,,
その他モノマー,,
タクチシチー,,
チオアミド,,
チオイミド,,
チオウレタン,,
チオエステル,,
チオケトン,,
チオ炭酸塩,,
チオ尿素,,
チオ無水物,,
デジタル,,
ハギンス式,,
バルク弾性率,,
ハロゲン化オレフィン,,
ハンセンパラメータ,,
ピーク分子量,,
ビカット軟化温度,,
ビニル化合物,,
フィッシャージョンの融点装置,,
フィッシャージョン溶融装置,,
フェノール,,
ブルックフィールド形単一円筒回転粘度計,単一円筒回転粘度計,
ブローフィルム,,
ポリアクリル,アクリル,
ポリアミド,アミド,
ポリイミド,イミド,
ポリイミン,イミン,
ポリウレタン,ウレタン,
ポリエーテル,,
ポリエステル,エステル,
ポリオレフィン,,
ポリカーボナート,カーボナート,
ポリケトン,ケトン,
ポリジエン,,
ポリシロキサン,シロキサン,
ポリスチレン,,
ポリスルフィド,スルフィド,
ポリスルホン,スルホン,
ポリハロオレフィン,ハロオレフィン,
ポリビニル,ビニル,
ポリフェニレン,フェニレン,
ポリホスファゼン,ホスファゼン,
ポリマー,高分子,重合体
ポリマーID,,
ポリマーの代表名,,
ポリマー鎖,,
ポリマー分子,,
ポリマー分類,,
ポリマー名,,
ポリマー名称,,
ポリ酸無水物,,
ポリ尿素,,
マーク‐ホーウインク式,,
メラミン,,
メルトインデックス,,
メルトフローインデックス,,
モノマー,,
モノマーの代表名,,
モノマー分類,,
モノマー名称,,
ラクタム,,
ラクトン,,
ラジカル重合,ラジカル,
ランダムな構造,ランダム構造,
リアクタント,,
リビング重合,重合,
レオロジカル物性,レオロジカル,
ローレンツ−ローレンスの式,,
